result,name,age,pros,cons,likes,dislikes,tagline,description,index
ESFP,코코,6,"주도성, 댄스, 노래",참을성이 없음,"새로운 것, BDS(방탄 공룡단)","지루함, 불의",걸크러쉬 골목대장,"자기 주장이 강하고 지는 걸 못 참는 캐릭터. 어떤 일에 쉽게 흥미를 느끼는 편이나, 싫증도 잘 낸다. 불의를 못 참는 성격이라 때때로 급발진을 한다. (동생을 놀리는 공룡이나, 쓰레기 무단 투척범을 응징!) 동생이 힘들 때면 언제나 해결사를 자처하는 듬직한 누나. 아빠와 개그 코드가 잘 맞아서 함께 장난치는 걸 즐기는 사랑스러운 딸이다.",15
ISFP,러비,4,먹기,"거짓말을 못함, 꼬리가 짧다","장난감, 먹기, 누나",먹을 것 나눠주기,단순하고 솔직한 귀염둥이,"단순하고 긍정적인 캐릭터. 호기심이 있어 누나의 제안에 잘 따르는 편이다. (희생자가 되기도 함.) 너무 솔직한 탓에, 아빠의 창작물을 본의 아니게 신랄히 비판하기도 한다. (마음의 상처를 받는 아빠.) 거짓말을 할때는 엄청 티가나며, 친구들 보다 꼬리가 짧은 것에 콤플렉스가 있다.",16
ENTJ,도나,37,"프로그래밍, 계산","요리, 노래, 미술","커피, 계획 짜기, 정리정돈","어지럽혀진 장소, 바퀴벌레",코코비 가족의 리더,"계획하기를 좋아하고, 실행력도 있는 가족의 실세. 아이들을 누구보다 사랑하지만, 본인의 일도 멋지게 해내는 능력자. 평소 아티스트인 남편의 꿈을 응원하며, 동시에 집안일의 상당 부분을 의지하고 있다. 필요할 땐, 모든 걸 제쳐두고 아이들에게 달려오는 듬직한 엄마.",1
ENFP,밥,35,"미술, 음악, 글쓰기, 집안일","계산, 계획대로 살기","창작 활동, 아이들과 역할 놀이","계산, 고정 관념","창의력 대장, 만능 아티스트","창작에 전반적으로 소질이 있는 뛰어난 아티스트. 미술, 음악, 글쓰기를 두루 잘한다. 외부에서 의뢰가 들어올 떄마다 프리랜서로 일하는데, 취향이 독특해 돈을 많이 벌지는 못한다. 상상력과 연기력이 좋아, 아이들과 역할놀이를 즐긴다. 유머가 있고 장난도 많이 치는 편.",2
ESFP,라라,1,빠르게 기어다니기,말을 못한다,"엄마, 아빠",양보,돌연변이 막내 아기,"온 가족의 관심과 사랑을 받는 아기 캐릭터. 돌연변이 색깔을 타고 태어났으며, 말은 못하지만 짜증은 확실히 낼 줄 아는 신기한 아기! ",3
ISTP,조지,65,"낚시, 목공, 배 운항",너무 과묵함,낚시,낚시를 방해하는 것들,과묵하고 따뜻한 낚시꾼,"젊었을 때는 어부였으나 은퇴하고는 낚시터를 운영하며 유유 자적한 일상을 즐긴다. 손주 손녀를 엄청 사랑하지만, 말 수가 거의 없어 가족들이 답답해 한다. 낚시를 즐기기 때문에, 가족이 먹을 물고기는 할아버지가 대부분 수급하는 편. 손재주가 좋아 아이들이 원하는 게 있으면 뚝딱뚝딱 만들어준다.",4
ISFJ,마샤,65,"식물 재배, 요리, 반려 동물 케어",남편과는 티격태격,"명상, 독서, 뜨개질",낚시,자애로운 집안의 어른,"집 앞 정원에서는 다양한 꽃과 넝쿨을, 집 뒤 텃밭에서는 다양한 작물을 키운다. 직접 키운 식재료로 건강식을 요리해 가족과 이웃을 대접하는 것을 즐긴다. 코코와 러비에게 다양한 삶의 지혜를 제공하며, 반려동물을 키우고 있다. 평소 온화하지만, 낚시밖에 모르는 동갑내기 남편과 자주 티격태격한다.",5
ESTP,션,28,"서핑, 체력","계산, 계획대로 살기","서핑, 캠핑, 모험","계산, 고정관념",건강하고 유쾌한 서핑 청년,"바다를 너무 사랑해 서핑샵을 운영하며 동시에 서퍼로 활동하는 근육질 청년. 시간이 날때면 조카들을 데리고 캠핑을 가기거나 작은 모험을 떠나기도 한다. (혼자서는 더 큰 탐험을 즐긴다!) 평소 친구같은 삼촌이지만, 한편으로는 해변의 안전요원 역할을 수행 하며 아이들을 엄격하게 관리한다. 서핑샵 옆에 주차된 개조한 캠핑카 안에서 숙식을 해결한다.",6
INFP,잭잭,4,"자수 놓기, 괴력",소심한 성격,"애착 인형, 채식","육식, 싸움",소심하지만 힘이 센 둘째,"타고난 괴력을 지녔으나, 성격이 소심하고 예민한 감수성을 지닌 캐릭터. 동화책을 보며 혼자 울기도 하고, 자신의 애착 인형에게 혼자 말을 걸기도 한다. 평소 호탕한 집 분위기에 끼지 못해 울적해지기도 하고, 소극적인 성격이라 친구들에게 종종 끌려 다닌다. 하지만 한 번씩 폭발할 때면, 티라노 특유의 괴성을 내지르며 엄청난 힘을 선보인다.",7
ESTJ,잭슨,6,용감,단순,"운동, 승리",패배,파이팅 넘치는 무대뽀 맏형,"언제나 나서기를 좋아하고 운동도 좋아하는 단순한 캐릭터. 동갑인 니코와 친하지만, 동시에 라이벌 의식을 가지고 있다. 코코에게 호감이 있지만 부끄러워 말은 하지 못한다.",12
